Taxonomy,La Escondida,,,El Sinai,,,Total
,Lenticel,,Peduncle,Lenticel,,Peduncle,
,Necrotic,Healthy,,Necrotic,Healthy,,
Alternaria sp.,1,1,0,0,0,1,3
Bipolaris sp.,0,0,1,0,0,1,2
Colletotrichum sp.,6,5,1,7,1,0,20
Cytospora sp.,6,1,0,0,3,1,11
Daldinia sp.,0,0,1,0,0,0,1
Diaporthe sp.,0,0,0,1,1,2,4
Entonaema sp.,0,0,0,0,0,1,1
Neofusicoccum sp.,0,1,0,0,0,0,1
Neurospora sp.,2,0,2,0,0,2,6
Nigrospora sp.,0,0,1,0,0,2,3
Phyllosticta sp.,0,0,0,3,0,0,3
Total,15,8,6,11,5,10,55
